Old Lviv Restaurant, OPERATIONAL, 2228 West Chicago Avenue, Chicago, 1, 4.6, No ratings 41.8959303, -87.683171
Cilantro Authentic Thai Food, OPERATIONAL, 1509 West Devon Avenue, Chicago, 2, 4.5, No ratings 41.99793020000001, -87.66833439999999
Pizzeria Due, OPERATIONAL, 619 North Wabash Avenue, Chicago, 2, 4.3, No ratings 41.8931085, -87.62643
Farmer's Fridge, OPERATIONAL, Located in the Vendeteria, 850 West Addison Street, Chicago, Price information not available, No rating, No ratings 41.948873, -87.65062499999999
Lou Malnati's Pizzeria, OPERATIONAL, 958 West Wrightwood Avenue, Chicago, 2, 4.5, No ratings 41.92917979999999, -87.6535523
Spike’s Breakfast Burritos, OPERATIONAL, 2537 South Wabash Avenue, Chicago, Price information not available, No rating, No ratings 41.8463923, -87.62488859999999
Budweiser Brickhouse Tavern, OPERATIONAL, 3647 North Clark Street, Chicago, 2, 4.6, No ratings 41.9486217, -87.65733709999999
Express Grill, OPERATIONAL, 1260 South Union Avenue, Chicago, 1, 4.4, No ratings 41.865237, -87.645163
Jerry's Sandwiches, OPERATIONAL, 4739 North Lincoln Avenue, Chicago, 2, 4.4, No ratings 41.9677019, -87.68774
McDonald's, OPERATIONAL, 1951 North Western Avenue, Chicago, 1, 3.7, No ratings 41.91716689999999, -87.6869366
Iyanze Bronze, OPERATIONAL, 308 East 51st Street, Chicago, 2, 3.5, No ratings 41.80223160000001, -87.61884119999999
Que Rico Mexican Restaurant, OPERATIONAL, 2814 North Southport Avenue, Chicago, 2, 4.4, No ratings 41.93296600000001, -87.6637136
Sultan's Market, OPERATIONAL, 2521 North Clark Street, Chicago, 1, 4.5, No ratings 41.9284409, -87.6420346
Aroy Thai Chicago, OPERATIONAL, 4654 North Damen Avenue, Chicago, 2, 4.5, No ratings 41.9667121, -87.67931519999999
Starbucks, OPERATIONAL, 1245 West Fullerton Avenue, Chicago, 2, 4, No ratings 41.9250433, -87.6601961
Nonna's Pizza & Sandwiches, OPERATIONAL, 925 West Randolph Street, Chicago, 1, 4.5, No ratings 41.8841396, -87.6507891
Holiday Club, OPERATIONAL, 4000 North Sheridan Road, Chicago, 1, 4.4, No ratings 41.954588, -87.654726
Ragadan, OPERATIONAL, 4409 North Broadway, Chicago, 1, 4.8, No ratings 41.962156, -87.65510549999999
Jimmy John's, OPERATIONAL, 1519 East 55th Street, Chicago, 1, 3.9, No ratings 41.7950567, -87.5882767
THE TAP, Powered by Xfinity, OPERATIONAL, 301 East Cermak Road, Chicago, Price information not available, 3.3, No ratings 41.8523786, -87.6200625
Marge's Still, OPERATIONAL, 1758 North Sedgwick Street, Chicago, 1, 4.5, No ratings 41.9145833, -87.63888890000001
Trattoria Gianni, OPERATIONAL, 1711 North Halsted Street, Chicago, 2, 4.4, No ratings 41.91310000000001, -87.6481
Bartoli's Pizzeria, OPERATIONAL, 1955 West Addison Street, Chicago, 1, 4.5, No ratings 41.9466937, -87.6783028
Farmer's Fridge, OPERATIONAL, Located in the Hub Space commons, 600 West Chicago Avenue, Chicago, Price information not available, 4.7, No ratings 41.897596, -87.643159
Sofi Restaurant, OPERATIONAL, 616 South Dearborn Street, Chicago, 3, 4.4, No ratings 41.873798, -87.6294546
Jonny’s Claypot Rice阿力煲仔飯, OPERATIONAL, 1835 South Canal Street, Chicago, 2, 4.6, No ratings 41.8566323, -87.6386601
Beatnik West Town, OPERATIONAL, 1604 West Chicago Avenue, Chicago, 3, 4.4, No ratings 41.896189, -87.66768979999999
Duck Duck Goat, OPERATIONAL, 857 West Fulton Market, Chicago, 3, 4.7, No ratings 41.8865639, -87.6495891
Ameer Kabob Mediterranean Cuisine, OPERATIONAL, 744 North Damen Avenue, Chicago, 1, 4.3, No ratings 41.8953719, -87.6771768
Chipotle Mexican Grill, OPERATIONAL, 2809 North Ashland Avenue, Chicago, 1, 3.8, No ratings 41.932835, -87.6680251
Miller Lite Beer Garden Grove, OPERATIONAL, 700 East Grand Avenue, Chicago, 2, 4.5, No ratings 41.89162839999999, -87.60039280000001
McDonald's, OPERATIONAL, 5200 South Lake Park Avenue, Chicago, 1, 3.1, No ratings 41.80087999999999, -87.58808859999999
Kim and Carlo's Hotdog Cart, OPERATIONAL, 499 East McFetridge Drive, Chicago, 1, 4.6, No ratings 41.86756150000001, -87.6158981
Taqueria Diamante, OPERATIONAL, 4431 North Broadway, Chicago, 1, 4.7, No ratings 41.9626639, -87.6553215
Starbucks, OPERATIONAL, 3356 North Lincoln Avenue, Chicago, 2, 4.3, No ratings 41.9428487, -87.67103490000001
Velvet Taco, OPERATIONAL, 1110 North State Street, Chicago, 2, 4.6, No ratings 41.9022009, -87.6285667
Chipotle Mexican Grill, OPERATIONAL, 316 North Michigan Avenue, Chicago, 1, 4.2, No ratings 41.88728769999999, -87.6248481
Sharks Fish & Chicken Express, OPERATIONAL, 101 East 51st Street, Chicago, 1, 3.8, No ratings 41.8016891, -87.62239799999999
Red Mango, OPERATIONAL, 835 North Michigan Avenue 7th floor, Chicago, 2, 3.8, No ratings 41.8980179, -87.62290209999999
Club Lucky, OPERATIONAL, 1824 West Wabansia Avenue, Chicago, 2, 4.5, No ratings 41.9125167, -87.67369169999999
Farmer's Fridge, OPERATIONAL, Located in the office area - Break room, 4834 South Oakley Avenue, Chicago, Price information not available, No rating, No ratings 41.80542, -87.68257
Taqueria los compadres, OPERATIONAL, 4304 South Western Avenue, Chicago, Price information not available, 4.6, No ratings 41.81543930000001, -87.68497099999999
Fat Cat, OPERATIONAL, 4840 North Broadway, Chicago, 2, 4.5, No ratings 41.970098, -87.6599373
Maxwell's, OPERATIONAL, 5304 South Western Avenue, Chicago, 1, 4.4, No ratings 41.7972551, -87.68440249999999
Naf Naf Grill, OPERATIONAL, 1248 South Canal Street, Chicago, 1, 4, No ratings 41.86584829999999, -87.64032619999999
Billy Goat Tavern (at The Mart), OPERATIONAL, 222 West Merchandise Mart Plaza, Chicago, 1, 3.6, No ratings 41.8880968, -87.6351871
Taquerias Ochoas, OPERATIONAL, 1323 West 47th Street, Chicago, Price information not available, 4.4, No ratings 41.8085747, -87.658727
Dunkin', OPERATIONAL, Martin L King Jr Dr, 3481 S. Dr, Chicago, 1, 3.8, No ratings 41.8315272, -87.6149396
Gannon's Pub, OPERATIONAL, 4264 North Lincoln Avenue, Chicago, 1, 4.6, No ratings 41.959435, -87.6827244
Taqueria El Jardin, OPERATIONAL, 1303 West Huron Street #1, Chicago, 1, 4.8, No ratings 41.89415460000001, -87.6598128
BUREK SHOP 3M Restaurant, OPERATIONAL, 5910 North Clark Street, Chicago, 1, 4.8, No ratings 41.9888495, -87.6701258
Supermercado Almita, OPERATIONAL, 5957 North Clark Street, Chicago, Price information not available, 4.3, No ratings 41.9902035, -87.66976199999999
McGee's Tavern & Grille, OPERATIONAL, 950 West Webster Avenue, Chicago, 1, 4, No ratings 41.92185, -87.6529229
Hellas Gyros, OPERATIONAL, 1135 West Bryn Mawr Avenue, Chicago, 1, 3.5, No ratings 41.98351029999999, -87.6595137
Raymond's Tacos, OPERATIONAL, 229 South Western Avenue, Chicago, 1, 4.3, No ratings 41.8777109, -87.6861308
D4 Irish Pub & Cafe, OPERATIONAL, Entrance on, 345 East Ohio Street, East Grand Avenue, Chicago, 2, 4.4, No ratings 41.8921031, -87.6191022
Texican, CLOSED_TEMPORARILY, 869 North Larrabee Street, Chicago, 1, 4.4, No ratings 41.898499, -87.64278689999999
Greenhouse Inn Restaurant, OPERATIONAL, 6300 North Ridge Avenue, Chicago, 1, 4.7, No ratings 41.99602760000001, -87.6764022
Ceres Cafe, OPERATIONAL, 141 West Jackson Boulevard, Chicago, 2, 4.5, No ratings 41.8778132, -87.63197579999999
ZENSHI Handcrafted Sushi, OPERATIONAL, 2550 North Clybourn Avenue, Chicago, Price information not available, No rating, No ratings 41.9271422, -87.6743716
Waldo Cooneys Pizza, OPERATIONAL, 2640 West 51st Street, Chicago, 2, 3.4, No ratings 41.80122799999999, -87.6908328
Chef Art Smith’s Reunion, OPERATIONAL, Navy Pier, 600 East Grand Avenue, Chicago, 2, 4.2, No ratings 41.89147029999999, -87.6096683
Dunkin', OPERATIONAL, 62 East Jackson Boulevard, Chicago, 1, 3.4, No ratings 41.8783794, -87.625466
Farmer's Fridge, OPERATIONAL, Located in the dock breakroom, 2555 South Leavitt Street, Chicago, Price information not available, No rating, No ratings 41.84509, -87.69025099999999
Cesar's Killer Margaritas - Broadway, OPERATIONAL, 2924 North Broadway, Chicago, 2, 4.2, No ratings 41.9357037, -87.6444198
Chicago Hot Dog Stand, OPERATIONAL, 5458 South Halsted Street, Chicago, 1, 2.3, No ratings 41.7945173, -87.6453231
The Chicago Lighthouse Convenience Store, OPERATIONAL, 1611 West Harrison Street #1, Chicago, Price information not available, No rating, No ratings 41.8735212, -87.6671382
Wendy's, OPERATIONAL, 145 South Western Avenue, Chicago, 1, 3.4, No ratings 41.8790513, -87.68601269999999
Doc B's Restaurant (Gold Coast), OPERATIONAL, 100 East Walton Street, Chicago, 2, 4.6, No ratings 41.9001175, -87.62491279999999
Lou Malnati's Pizzeria, OPERATIONAL, 439 North Wells Street, Chicago, 2, 4.4, No ratings 41.8903514, -87.6337231
Sfera Sicilian Street Food, OPERATIONAL, 5759 North Broadway, Chicago, 2, 4.8, No ratings 41.9871154, -87.6598145
Crave Kabob, OPERATIONAL, 1521 West Madison Street, Chicago, 2, 4.5, No ratings 41.881296, -87.66524729999999
Yi Shou Dian 一手店, OPERATIONAL, 2615 South Halsted Street #1, Chicago, 2, 3.9, No ratings 41.84484129999999, -87.6461674
Pizzeria Aroma, OPERATIONAL, 5350 North Broadway, Chicago, 2, 4.6, No ratings 41.9796123, -87.6601694
Juleen Burger’s, OPERATIONAL, 6141 North Broadway, Chicago, 1, 4.6, No ratings 41.9935175, -87.6600625
Just Turkey Grill, OPERATIONAL, 4353 South Cottage Grove Avenue, Chicago, 1, 4.1, No ratings 41.8152587, -87.6060924
Popeyes Louisiana Kitchen, OPERATIONAL, 500 West Madison Street, Chicago, 1, 2.5, No ratings 41.8824655, -87.641066
Kin Sushi & Thai Cuisine, OPERATIONAL, 1132 North Milwaukee Avenue, Chicago, 2, 4.5, No ratings 41.9021698, -87.6650743
Gene's Sausage Shop and Delicatessen, OPERATIONAL, 4750 North Lincoln Avenue, Chicago, 2, 4.8, No ratings 41.9678232, -87.68830439999999
Beck's Chicago, OPERATIONAL, 2201 North Clybourn Avenue, Chicago, 2, 4.7, No ratings 41.9217463, -87.6643706
sweetgreen, OPERATIONAL, 1000 West Randolph Street, Chicago, 2, 3.9, No ratings 41.88461410000001, -87.65234559999999
Farmer's Fridge, OPERATIONAL, Located inside the Damen Pink Line Station past the turnstiles, 2010 South Damen Avenue, Chicago, Price information not available, No rating, No ratings 41.85453, -87.67617
Q Sushi Bar & Omakase, OPERATIONAL, 4845 North Damen Avenue, Chicago, Price information not available, 4.8, No ratings 41.9701094, -87.6790276
Tiparos Thai Cuisine & Sushi Bar, OPERATIONAL, 1540 North Clark Street, Chicago, 1, 4.2, No ratings 41.91065, -87.631892
Billy Goat Tavern (Navy Pier), OPERATIONAL, 700 East Grand Avenue, Chicago, 1, 4, No ratings 41.8913133, -87.6052302
Dee's, OPERATIONAL, 1114 West Armitage Avenue, Chicago, 2, 4.3, No ratings 41.9182341, -87.6561199
Dunkin', OPERATIONAL, 1441 West Montrose Avenue, Chicago, 1, 4, No ratings 41.9614103, -87.66662889999999
Tortorice's Pizza & Catering, OPERATIONAL, 1746 West Grand Avenue, Chicago, 2, 4.3, No ratings 41.89107180000001, -87.6713947
Pie-Eyed Pizzeria, OPERATIONAL, 1111 West Chicago Avenue, Chicago, 1, 4.4, No ratings 41.8960431, -87.6556888
Los Arcos, OPERATIONAL, 5525 North Clark Street, Chicago, 1, 4.1, No ratings 41.9824571, -87.6682567
McDonald's, OPERATIONAL, McCormick Place, 2301 South Lake Shore Drive, Chicago, 1, 3.1, No ratings 41.8522056, -87.61535959999999
Blue Door Farm Stand Too, OPERATIONAL, 711 West Armitage Avenue, Chicago, 2, 4.2, No ratings 41.9181861, -87.6466217
Carmine's, CLOSED_TEMPORARILY, 1043 North Rush Street, Chicago, 3, 4.3, No ratings 41.902023, -87.6277719
Picante Taqueria, OPERATIONAL, 2016 West Division Street, Chicago, 1, 4.3, No ratings 41.90333209999999, -87.6780713
Antique Taco Wicker Park, OPERATIONAL, 1360 North Milwaukee Avenue, Chicago, 2, 4.5, No ratings 41.9064135, -87.6716364
Sweet Bean, OPERATIONAL, 1152 South Wabash Avenue, Chicago, Price information not available, 4.5, No ratings 41.8676755, -87.62606269999999
Temporis, CLOSED_TEMPORARILY, 933 North Ashland Avenue, Chicago, 4, 4.7, No ratings 41.89891329999999, -87.667031
Spacca Napoli Pizzeria, OPERATIONAL, 1769 West Sunnyside Avenue, Chicago, 2, 4.7, No ratings 41.9631881, -87.67372739999999
Bistro Campagne, OPERATIONAL, 4518 North Lincoln Avenue, Chicago, 2, 4.7, No ratings 41.9636039, -87.685707
Smallchopsandbubbles, OPERATIONAL, 1614 East 53rd Street, Chicago, Price information not available, No rating, No ratings 41.799726, -87.5862643
TYPICA CAFE (DINER CAFE) TAYLOR, CLOSED_TEMPORARILY, Front Store, 2325 West Taylor Street, Chicago, 2, 4.5, No ratings 41.8688442, -87.6847128
Blue Bayou, OPERATIONAL, 3734 North Southport Avenue, Chicago, 2, 4.3, No ratings 41.949966, -87.664446
The Tuck Shop, OPERATIONAL, 1612 West Irving Park Road Ste 3, Chicago, 2, No rating, No ratings 41.9544488, -87.6697259
Chilango Mexican Street Food, OPERATIONAL, 1437 West Taylor Street Suite 1, Chicago, 1, 4.5, No ratings 41.86914710000001, -87.66313799999999
Subway, OPERATIONAL, 60 East Jackson Boulevard, Chicago, 1, 3.7, No ratings 41.87842839999999, -87.6256126
Maxwell Street Depot, OPERATIONAL, 411 West 31st Street, Chicago, 1, 4.4, No ratings 41.8380363, -87.63714639999999
Irazu Costa Rican Restaurant & Catering, OPERATIONAL, 1865 North Milwaukee Avenue, Chicago, 1, 4.6, No ratings 41.9154968, -87.68507149999999
Burton Place, OPERATIONAL, 1447 North Wells Street, Chicago, 1, 4.1, No ratings 41.9090353, -87.6344395
Dunkin', OPERATIONAL, 2448 West 24th Street, Chicago, 1, 2.5, No ratings 41.84866809999999, -87.6859885
Coalfire, OPERATIONAL, 3707 North Southport Avenue, Chicago, 2, 4.6, No ratings 41.949185, -87.66377039999999
The Reservoir, OPERATIONAL, 844 West Montrose Avenue, Chicago, 2, 4.4, No ratings 41.96208469999999, -87.6517652
sweetgreen, OPERATIONAL, 5400 North Clark Street, Chicago, 2, 3.5, No ratings 41.97995279999999, -87.66842749999999
Anor 1985 Restaurant, OPERATIONAL, 1450 West Webster Avenue, Chicago, 2, 4.6, No ratings 41.9217425, -87.6651224
Swissotel Chicago, OPERATIONAL, 323 East Wacker Drive, Chicago, Price information not available, 4.3, No ratings 41.8870749, -87.61949709999999
Rice & Noodles Thai Food, OPERATIONAL, 1522 West Montrose Avenue, Chicago, 1, 4.8, No ratings 41.9617666, -87.6686677
Pizza Capri, OPERATIONAL, 1733 North Halsted Street, Chicago, 2, 4.4, No ratings 41.91371960000001, -87.6482415
Subway, CLOSED_TEMPORARILY, 1139 West Granville Avenue, Chicago, 1, 3, No ratings 41.9943882, -87.65988060000001
The Market Bistro, OPERATIONAL, Fox & Obel Food Market, 401 East Illinois Street, Chicago, Price information not available, 4, No ratings 41.8907999, -87.6160153
Royal Thai Restaurant, OPERATIONAL, 2209 West Montrose Avenue, Chicago, 1, 4.2, No ratings 41.9612943, -87.6842252
ZENSHI Handcrafted Sushi, OPERATIONAL, 1224 South Wabash Avenue, Chicago, Price information not available, No rating, No ratings 41.8662066, -87.6262093
Nellie’s Restaurant, OPERATIONAL, 2458 West Division Street, Chicago, 2, 4.4, No ratings 41.9031409, -87.6893218
Domino's Pizza, OPERATIONAL, 1229 North Clybourn Avenue, Chicago, 1, 2.3, No ratings 41.9046548, -87.6403943
Les Nomades, OPERATIONAL, 222 East Ontario Street, Chicago, 4, 4.7, No ratings 41.8936337, -87.6217654
A Taste of Heaven, OPERATIONAL, 5401 North Clark Street, Chicago, 2, 4.5, No ratings 41.9799916, -87.6680196
The Chicago Rib House, OPERATIONAL, 3851 South Michigan Avenue, Chicago, Price information not available, 3.7, No ratings 41.8240969, -87.62286549999999
SAVOR, OPERATIONAL, 2301 South Lake Shore Drive, Chicago, Price information not available, 4, No ratings 41.8526229, -87.61195769999999
Seafood Junction Madison st, OPERATIONAL, 2325 West Madison Street, Chicago, 3, 4.3, No ratings 41.8807589, -87.684974
Hugo's Frog Bar & Fish House, OPERATIONAL, 1024 North Rush Street, Chicago, 3, 4.6, No ratings 41.9012069, -87.6279441
Farmer's Fridge, OPERATIONAL, 1654 West Congress Parkway, Chicago, Price information not available, No rating, No ratings 41.8753672, -87.6676744
Subway, OPERATIONAL, 35 West Van Buren Street Suite 4, Chicago, 1, 3.7, No ratings 41.87672009999999, -87.628954
Greek Time Chicago, OPERATIONAL, 2537 South Wabash Avenue, Chicago, 2, 4.8, No ratings 41.8463923, -87.62488859999999
Avocado Theory (Chicago), OPERATIONAL, 850 West Superior Street, Chicago, 2, 5, No ratings 41.89573499999999, -87.64965199999999
Starbucks, OPERATIONAL, 40 North Clinton Street, Chicago, 2, 4.4, No ratings 41.8829145, -87.6415514
Jimmy John's, OPERATIONAL, 5109 North Clark Street, Chicago, 1, 3.8, No ratings 41.97466499999999, -87.668027
Antico, OPERATIONAL, 1946 North Leavitt Street, Chicago, 3, 4.6, No ratings 41.91746649999999, -87.6827631
Noodles Etc, OPERATIONAL, 1333 East 57th Street, Chicago, 1, 4.1, No ratings 41.79132759999999, -87.59340019999999
Leona's Pizzeria & Restaurant, CLOSED_TEMPORARILY, 1236 East 53rd Street, Chicago, 2, 3.8, No ratings 41.7999325, -87.5952233
McDonald's, OPERATIONAL, 2005 West Chicago Avenue, Chicago, 1, 3.6, No ratings 41.89558, -87.6775315
Habanero Baja Grill, OPERATIONAL, 222 West Merchandise Mart Plaza, Chicago, 1, 2.9, No ratings 41.8884096, -87.6354498
Cruz Blanca Brewpub, OPERATIONAL, 904 West Randolph Street, Chicago, 2, 4.5, No ratings 41.8845986, -87.6501184
Ron of Japan, OPERATIONAL, 230 East Ontario Street, Chicago, 3, 3.8, No ratings 41.893632, -87.621298
Davis Theater, Chicago, OPERATIONAL, 4614 North Lincoln Avenue, Chicago, Price information not available, 4.7, No ratings 41.965306, -87.686599
Dunkin', OPERATIONAL, 5602 North Clark Street, Chicago, 1, 4.1, No ratings 41.98370269999999, -87.66917649999999
Captain hooks & firehouse, OPERATIONAL, 1215 South Ashland Avenue, Chicago, 1, 4.5, No ratings 41.8663513, -87.66593809999999
McDonald's, OPERATIONAL, 2438 West Cermak Road, Chicago, 1, 3.5, No ratings 41.852327, -87.6874369
Floriole Cafe & Bakery, OPERATIONAL, 1220 West Webster Avenue, Chicago, 2, 4.5, No ratings 41.9218354, -87.6592131
Starbucks, OPERATIONAL, 3184 North Clark Street, Chicago, 2, 4, No ratings 41.93981909999999, -87.65078679999999
Starbucks, OPERATIONAL, 3506 South State Street, Chicago, 2, 3.9, No ratings 41.830852, -87.6268016
El Barco Mariscos, OPERATIONAL, 1035 North Ashland Avenue, Chicago, 2, 3.9, No ratings 41.900736, -87.6672159
South Loop Club, CLOSED_TEMPORARILY, 701 South State Street, Chicago, 2, 3.7, No ratings 41.8729855, -87.6273312
Dunkin', OPERATIONAL, 3949 North Broadway, Chicago, 1, 3.5, No ratings 41.9541817, -87.65010649999999
Mily’s Quesadillas, OPERATIONAL, 1934 South Carpenter Street, Chicago, Price information not available, 5, No ratings 41.85559600000001, -87.6533638
The Spoke & Bird (Bronzeville), CLOSED_TEMPORARILY, 4238 South Cottage Grove Avenue, Chicago, Price information not available, No rating, No ratings 41.8175146, -87.6071489
Amici-Chicago, OPERATIONAL, 3933 North Broadway, Chicago, 2, 4.9, No ratings 41.95374440000001, -87.6498635
Sam’s Chicken & Ribs-Edgewater, OPERATIONAL, 1102 West Granville Avenue, Chicago, 2, 3.9, No ratings 41.9946663, -87.6586456
Vegan Plate, OPERATIONAL, 1550 West Fullerton Avenue, Chicago, 2, 4.8, No ratings 41.92533960000001, -87.66772979999999
Mr. Kabab, OPERATIONAL, 1962 West Peterson Avenue, Chicago, 2, 4.6, No ratings 41.991003, -87.679495
Niu B, OPERATIONAL, 888 South Michigan Avenue, Chicago, 2, 4.3, No ratings 41.8707053, -87.624488
Little Joe's, OPERATIONAL, 1041 West Taylor Street, Chicago, 1, 4.4, No ratings 41.869296, -87.652777
Main Dish Special Events & Catering, OPERATIONAL, 928 West Wilson Avenue, Chicago, Price information not available, No rating, No ratings 41.9656677, -87.6536799
Little Sandwich House, OPERATIONAL, 411 East Oakwood Boulevard, Chicago, 1, 4.6, No ratings 41.82248999999999, -87.6162229
Ssong's Hotdog - Chicago, CLOSED_TEMPORARILY, 2105 South Jefferson Street FL 2, Chicago, 1, 4.7, No ratings 41.85391850000001, -87.64159219999999
River Shannon, OPERATIONAL, 425 West Armitage Avenue, Chicago, 1, 4.4, No ratings 41.9181399, -87.6398797
Dunkin', OPERATIONAL, 1418 East 53rd Street Ste 5, Chicago, 1, 3.8, No ratings 41.7998097, -87.5910376
Oasis Fresh, OPERATIONAL, 500 West Diversey Parkway, Chicago, 1, 4.7, No ratings 41.93296619999999, -87.6414854
Crosby's Kitchen, OPERATIONAL, 3455 North Southport Avenue, Chicago, 2, 4.4, No ratings 41.9450902, -87.6637174
Tasty Asian Restaurant, OPERATIONAL, 3500 North Broadway, Chicago, 1, 4.2, No ratings 41.9456033, -87.6464795
Mr Salsa, OPERATIONAL, 1025 West Montrose Avenue, Chicago, 1, 4.5, No ratings 41.9616341, -87.65608139999999
Puesto 1, OPERATIONAL, 4900 South Chicago Beach Drive, Chicago, Price information not available, No rating, No ratings 41.8062405, -87.58579399999999
McDonald's, OPERATIONAL, 1380 West Lake Street, Chicago, 1, 3.7, No ratings 41.8857455, -87.66201149999999
Bistronomic, OPERATIONAL, 840 North Wabash Avenue, Chicago, 3, 4.5, No ratings 41.8978111, -87.62715829999999
Brett's Kitchen, OPERATIONAL, 233 West Superior Street, Chicago, 1, 4.5, No ratings 41.8954511, -87.6355227
Pizzeria Uno - Lakeview, OPERATIONAL, 1970 West Diversey Parkway, Chicago, 2, 4.2, No ratings 41.9325328, -87.6778185
Diversey River Bowl, OPERATIONAL, 2211 West Diversey Parkway, Chicago, 1, 4.3, No ratings 41.931658, -87.68342229999999
Flames Grill, OPERATIONAL, Curtis Granderson Stadium, 901 West Roosevelt Road, Chicago, 2, 5, No ratings 41.8665933, -87.64927809999999
Wendy's, OPERATIONAL, 6324 North Western Avenue, Chicago, 1, 3.6, No ratings 41.996793, -87.6901639
Cho Sun Ok Restaurant, OPERATIONAL, 4200 North Lincoln Avenue, Chicago, 2, 4.2, No ratings 41.9579004, -87.68157049999999
Wingstop, OPERATIONAL, 830 North Milwaukee Avenue, Chicago, 2, 4.2, No ratings 41.8968845, -87.65669779999999
Ramova Grill And Taproom, OPERATIONAL, 3520 South Halsted Street, Chicago, 2, 4.1, No ratings 41.8301391, -87.646222
Shawarma & Grill, OPERATIONAL, 438 West Diversey Parkway, Chicago, 1, 4.8, No ratings 41.9329437, -87.64085779999999
Taqueria San Jose, OPERATIONAL, 3253 South Halsted Street, Chicago, 1, 3.9, No ratings 41.8348992, -87.6459141
SzeChuan Alley 成都巷子, OPERATIONAL, 3141 South Halsted Street, Chicago, 2, 4.4, No ratings 41.8368308, -87.6461041
Starbucks, OPERATIONAL, 401 East Ontario Street, Chicago, 2, 4, No ratings 41.893214, -87.61692149999999
Third Rail Tavern, OPERATIONAL, 1133 West Madison Street, Chicago, 2, 4.5, No ratings 41.8815073, -87.65565670000001
Bulerias Catering and Banquets, OPERATIONAL, 2507 West North Avenue Floor 3, Chicago, 2, 4.3, No ratings 41.91003920000001, -87.6900307
Thai 55 Restaurant, OPERATIONAL, 1607 East 55th Street, Chicago, 2, 3.3, No ratings 41.7950262, -87.5862942
Starbucks, OPERATIONAL, 5964 North Ridge Avenue, Chicago, 2, 4.4, No ratings 41.98985919999999, -87.67087719999999
PAZZO'S, OPERATIONAL, 311 South Wacker Drive, Chicago, 2, 4.4, No ratings 41.87746, -87.63613860000001
The Up Spot Home Of Uptown Nutrition, OPERATIONAL, 4548 North Broadway, Chicago, 2, 4.4, No ratings 41.9647329, -87.65734549999999
Riverside Square & River's Edge, OPERATIONAL, 3145 South Ashland Avenue, Chicago, Price information not available, 4.3, No ratings 41.83667779999999, -87.6637712
Beat Kitchen, OPERATIONAL, 2100 West Belmont Avenue, Chicago, 1, 4.5, No ratings 41.93965149999999, -87.6809409
Happy's Fish and Chicken, OPERATIONAL, 1951 West Garfield Boulevard, Chicago, 2, 3.7, No ratings 41.7932187, -87.6738264
Bar Louie -University Village, OPERATIONAL, 1325 South Halsted Street, Chicago, 2, 4.1, No ratings 41.86463129999999, -87.6466238
My Place South Loop Restaurant, OPERATIONAL, 1906 South State Street, Chicago, 2, 4.2, No ratings 41.85608209999999, -87.6274846
The Albion Manor, OPERATIONAL, 1480 West Webster Avenue, Chicago, Price information not available, 4.7, No ratings 41.9218187, -87.66627659999999
Hana Dragon Restaurant, OPERATIONAL, 1311 West Taylor Street, Chicago, 2, 4, No ratings 41.8692752, -87.6597018
Subway, OPERATIONAL, 1768 West Armitage Avenue, Chicago, 1, 3.2, No ratings 41.9183565, -87.6725526
Nancy's Pizza, OPERATIONAL, 2930 North Broadway, Chicago, 2, 4.2, No ratings 41.9358179, -87.64439209999999
Dama, CLOSED_TEMPORARILY, 2105 S Jefferson St 2nd Floor, Unit #6, Chicago, 2, 5, No ratings 41.85391850000001, -87.64159219999999
Starbucks, OPERATIONAL, 3800 South Western Avenue, Chicago, 2, 3.6, No ratings 41.8248904, -87.6851686
Farmer's Fridge, OPERATIONAL, 680 North Lake Shore Drive, Chicago, Price information not available, 2.3, No ratings 41.8946522, -87.61675079999999
Mango Pickle, OPERATIONAL, 5842 North Broadway, Chicago, 2, 4.2, No ratings 41.9882774, -87.6604766
Tack Room, OPERATIONAL, 1807 South Allport Street, Chicago, 2, 4.6, No ratings 41.8576126, -87.6575068
Wingstop, OPERATIONAL, 3720 North Broadway, Chicago, 2, 3.8, No ratings 41.9497167, -87.6491471
Tex Mex, OPERATIONAL, 2544 South Western Avenue, Chicago, Price information not available, 4.6, No ratings 41.8452653, -87.68584369999999
Selam Ethiopian Kitchen, OPERATIONAL, 4543 North Broadway, Chicago, 2, 4.6, No ratings 41.9649006, -87.6567779
Comidas El Valle, OPERATIONAL, 1922 West 21st Place, Chicago, Price information not available, 5, No ratings 41.8533213, -87.6744276
Farmer's Fridge, OPERATIONAL, Located on the 1st floor in the Starbucks, 820 South Damen Avenue 1st Floor, Chicago, Price information not available, 5, No ratings 41.8706496, -87.6773917
Lee's Chop Suey, OPERATIONAL, 2415 West Diversey Avenue, Chicago, 2, 4.2, No ratings 41.9320406, -87.688609
JJ Fish and Chicken, OPERATIONAL, 5401 South Wentworth Avenue #4W, Chicago, 2, 4.7, No ratings 41.7957911, -87.6302408
Dhanteraz Indian Fusion, OPERATIONAL, 2116 West Roscoe Street, Chicago, 2, 4.9, No ratings 41.9433036, -87.6816602
Wing Ho Inc, OPERATIONAL, 244 West 26th Street, Chicago, Price information not available, 3.3, No ratings 41.8455974, -87.6336233
Chipotle Mexican Grill, OPERATIONAL, 210 West North Avenue, Chicago, 1, 3.3, No ratings 41.9114032, -87.6350693
